StartTime: 2018-11-20 19:51:14.862
Time(s)	hx	hy	hz 
75.050	145	101	-265 
75.066	153	106	-263 
75.081	162	107	-262 
75.097	176	107	-257 
75.121	189	108	-246 
75.141	207	108	-224 
75.156	225	105	-196 
75.188	242	101	-167 
75.203	254	99	-143 
75.234	263	102	-116 
75.250	270	109	-95 
75.266	274	116	-73 
75.281	275	120	-55 
75.297	275	122	-39 
75.313	274	122	-28 
75.344	271	121	-22 
75.375	271	118	-14 
75.391	271	118	-6 
75.406	266	121	2 
75.438	265	122	8 
75.469	264	123	17 
75.469	262	122	27 
75.484	262	117	38 
75.501	262	111	49 
75.520	263	106	61 
75.528	265	97	70 
75.544	268	87	78 
75.575	270	82	85 
75.591	269	80	95 
75.637	264	74	106 
75.669	255	68	120 
75.669	245	59	136 
75.684	230	46	153 
75.700	216	33	174 
75.716	202	20	191 
75.731	192	8	203 
75.762	183	-4	210 
75.778	175	-19	215 
75.794	171	-33	221 
75.825	168	-47	228 
75.887	159	-57	237 
75.903	143	-64	242 
75.903	129	-68	247 
75.903	115	-71	254 
75.919	99	-70	261 
75.934	82	-64	267 
75.966	66	-55	275 
75.981	49	-44	279 
75.997	35	-34	284 
76.028	18	-32	286 
76.044	2	-35	289 
76.059	-13	-40	293 
76.075	-29	-49	291 
76.116	-45	-53	285 
76.133	-57	-56	279 
76.149	-67	-59	274 
76.164	-79	-59	269 
76.180	-86	-59	265 
76.196	-96	-57	259 
76.227	-105	-54	251 
76.243	-115	-53	243 
76.258	-125	-54	233 
76.321	-136	-54	222 
76.352	-144	-56	215 
76.352	-150	-55	208 
76.352	-157	-52	201 
76.368	-164	-50	194 
76.383	-169	-47	188 
76.399	-174	-43	185 
76.414	-175	-38	182 
76.430	-173	-37	183 
76.461	-174	-39	181 
76.493	-177	-44	176 
76.508	-181	-45	171 
76.524	-187	-40	164 
76.539	-190	-36	159 
76.555	-194	-34	155 
76.571	-199	-34	148 
76.602	-202	-34	140 
76.617	-205	-34	137 
76.633	-209	-35	134 
76.664	-212	-35	130 
76.680	-213	-35	124 
76.696	-216	-29	121 
76.711	-215	-21	122 
76.727	-213	-13	131 
76.743	-212	-2	136 
76.774	-210	9	145 
76.789	-207	21	149 
76.805	-210	34	144 
76.821	-215	48	129 
76.867	-217	69	104 
76.883	-219	86	84 
76.899	-220	98	66 
76.914	-222	105	56 
76.946	-222	107	42 
76.961	-224	108	32 
76.977	-225	107	27 
76.993	-224	103	21 
77.008	-224	101	18 
77.024	-223	98	17 
77.086	-223	95	18 
77.102	-227	91	23 
77.102	-229	87	27 
77.118	-231	84	32 
77.128	-232	83	34 
77.143	-234	77	30 
77.159	-236	73	25 
77.190	-239	66	17 
77.206	-239	64	12 
77.221	-243	62	8 
77.253	-244	60	5 
77.284	-244	60	3 
77.299	-247	54	0 
77.315	-252	51	-12 
77.331	-254	46	-28 
77.346	-257	41	-45 
77.378	-259	37	-60 
77.393	-260	31	-77 
77.409	-260	24	-96 
77.424	-258	15	-114 
77.456	-253	9	-131 
77.487	-246	0	-149 
77.503	-239	-3	-168 
77.518	-231	-6	-185 
77.534	-222	-8	-202 
77.549	-214	-12	-219 
77.565	-205	-18	-232 
77.596	-193	-27	-244 
77.612	-181	-38	-254 
77.628	-171	-47	-264 
77.643	-160	-54	-270 
77.659	-148	-60	-277 
77.690	-135	-64	-286 
77.706	-119	-70	-292 
77.721	-105	-76	-294 
77.737	-96	-84	-295 
77.768	-102	-88	-288 
77.784	-129	-108	-225 
77.799	-139	-141	-135 
77.831	-143	-163	-75 
77.846	-144	-179	-39 
77.862	-141	-196	-22 
77.893	-137	-211	-20 
77.924	-131	-222	-25 
77.940	-125	-229	-35 
77.956	-117	-235	-45 
77.971	-110	-237	-55 
77.987	-104	-237	-69 
78.018	-100	-238	-81 
78.034	-98	-237	-95 
78.049	-96	-236	-111 
78.081	-90	-232	-125 
78.118	-82	-232	-138 
78.124	-67	-231	-149 
78.140	-52	-229	-158 
78.155	-36	-224	-167 
78.171	-16	-220	-177 
78.187	3	-218	-185 
78.202	20	-215	-193 
78.218	36	-213	-200 
78.249	53	-212	-205 
78.265	69	-206	-206 
78.280	85	-200	-206 
78.327	99	-192	-207 
78.343	110	-180	-209 
78.359	119	-174	-212 
78.374	127	-169	-217 
78.390	132	-164	-219 
78.405	138	-158	-225 
78.421	142	-152	-227 
78.437	136	-137	-243 
78.468	140	-113	-262 
78.484	141	-88	-275 
78.499	141	-66	-281 
78.515	141	-47	-289 
78.546	142	-33	-293 
78.577	143	-28	-295 
78.593	147	-31	-295 
78.609	151	-33	-296 
78.624	154	-32	-296 
78.640	156	-32	-296 
78.671	158	-33	-293 
78.702	158	-32	-295 
78.718	158	-27	-294 
78.734	160	-19	-292 
78.749	160	-14	-293 
78.765	162	-2	-290 
78.780	167	10	-288 
78.796	173	23	-282 
78.827	184	28	-271 
78.843	196	25	-256 
78.890	212	0	-237 
78.905	222	-24	-216 
78.921	229	-44	-196 
78.937	235	-53	-183 
78.952	241	-59	-173 
78.968	247	-64	-162 
78.984	251	-69	-151 
79.015	252	-74	-139 
79.030	250	-84	-126 
79.046	245	-96	-116 
79.062	240	-111	-107 
79.109	237	-123	-100 
79.119	235	-129	-92 
79.135	237	-133	-82 
79.151	237	-133	-73 
79.166	239	-132	-65 
79.182	242	-130	-56 
79.213	244	-128	-50 
79.229	248	-125	-45 
79.244	250	-123	-39 
79.260	253	-121	-31 
79.322	252	-118	-29 
79.338	255	-115	-24 
79.338	258	-113	-13 
79.354	262	-109	2 
79.369	264	-105	17 
79.385	267	-99	36 
79.401	266	-96	53 
79.416	266	-93	80 
79.432	262	-89	106 
79.463	255	-84	129 
79.479	249	-81	153 
79.494	230	-84	179 
79.525	212	-87	200 
79.541	192	-90	220 
79.557	165	-94	238 
79.572	136	-96	252 
79.604	112	-98	261 
79.615	87	-99	268 
79.630	56	-100	274 
79.662	32	-99	274 
79.677	13	-97	276 
79.693	-7	-97	277 
79.724	-26	-99	276 
79.740	-42	-98	273 
79.755	-54	-96	272 
79.771	-63	-96	270 
79.802	-76	-98	267 
79.833	-86	-101	264 
79.849	-95	-101	257 
79.865	-102	-103	249 
79.896	-109	-104	241 
79.943	-117	-107	234 
79.958	-125	-108	225 
79.958	-134	-110	214 
79.974	-141	-109	207 
79.990	-144	-110	201 
80.005	-148	-110	194 
80.021	-152	-112	186 
80.037	-155	-114	180 
80.052	-156	-116	173 
80.083	-158	-121	164 
80.115	-161	-127	157 
80.160	-162	-130	146 
80.176	-162	-133	138 
80.176	-163	-139	129 
80.191	-163	-141	123 
80.207	-166	-146	115 
80.222	-166	-153	107 
80.238	-165	-157	99 
80.254	-164	-159	91 
80.301	-163	-161	84 
80.332	-162	-164	79 
80.332	-160	-170	71 
80.347	-157	-172	66 
80.363	-154	-179	56 
80.379	-152	-186	43 
80.394	-148	-192	35 
80.410	-144	-196	27 
80.441	-142	-198	18 
80.457	-139	-200	11 
80.488	-136	-202	5 
80.504	-133	-206	2 
80.519	-132	-209	0 
80.551	-132	-210	0 
80.582	-133	-209	-1 
80.597	-134	-209	-5 
80.613	-135	-210	-8 
80.629	-137	-211	-12 
80.644	-141	-210	-17 
80.660	-146	-208	-18 
80.691	-149	-206	-16 
80.738	-153	-205	-15 
80.738	-157	-203	-14 
80.754	-163	-199	-14 
80.769	-167	-196	-10 
80.785	-174	-193	-3 
80.801	-182	-183	-13 
80.816	-184	-166	-67 
80.832	-165	-146	-132 
80.847	-152	-129	-186 
80.879	-140	-115	-226 
80.894	-129	-98	-258 
80.910	-126	-80	-277 
80.941	-122	-61	-292 
80.957	-122	-44	-303 
80.972	-120	-32	-312 
80.988	-117	-22	-313 
81.019	-117	-13	-317 
81.035	-116	-3	-319 
81.051	-113	4	-321 
81.066	-111	11	-323 
81.097	-110	18	-324 
81.140	-108	22	-327 
81.155	-104	25	-327 
81.171	-100	30	-328 
81.188	-95	32	-331 
81.196	-89	35	-332 
81.211	-83	40	-335 
81.227	-75	44	-338 
81.258	-70	49	-341 
81.274	-63	52	-342 
81.305	-55	55	-342 
81.321	-46	57	-344 
81.336	-38	60	-347 
81.352	-30	62	-346 
81.383	-15	61	-344 
81.399	3	62	-343 
81.415	24	65	-340 
81.430	49	67	-336 
81.446	71	71	-327 
81.477	93	75	-318 
81.493	112	83	-306 
81.555	129	90	-294 
81.571	143	96	-284 
81.571	156	97	-274 
81.586	165	101	-267 
81.602	175	104	-260 
81.618	182	105	-255 
81.633	189	105	-248 
81.649	195	110	-239 
81.680	202	113	-232 
81.696	208	112	-224 
81.711	213	112	-214 
81.758	216	113	-206 
81.774	221	115	-200 
81.790	227	118	-195 
81.805	230	123	-187 
81.821	232	129	-179 
81.836	235	136	-169 
81.868	238	139	-163 
81.883	238	140	-159 
81.899	237	141	-156 
81.930	235	146	-155 
81.977	230	150	-158 
81.993	226	156	-163 
81.993	219	160	-169 
82.008	215	164	-172 
82.024	210	166	-175 
82.040	207	168	-178 
82.055	206	162	-189 
82.086	203	155	-198 
82.102	201	146	-209 
82.118	195	137	-223 
82.128	186	122	-242 
82.144	177	106	-257 
82.175	169	85	-275 
82.191	159	62	-287 
82.206	148	41	-300 
82.222	139	27	-307 
82.253	131	13	-314 
82.269	123	0	-319 
82.284	117	-20	-320 
82.316	114	-38	-320 
82.331	110	-56	-317 
82.362	109	-71	-314 
82.394	111	-85	-312 
82.409	111	-94	-308 
82.425	110	-102	-302 
82.441	111	-110	-297 
82.456	118	-110	-291 
82.472	125	-105	-290 
82.487	134	-101	-288 
82.534	141	-96	-288 
82.550	147	-91	-288 
82.566	151	-90	-286 
82.581	154	-92	-282 
82.597	153	-97	-281 
82.612	147	-104	-278 
82.644	139	-115	-280 
82.659	126	-127	-278 
82.675	115	-142	-275 
82.706	103	-158	-268 
82.769	82	-175	-255 
82.784	61	-191	-240 
82.784	43	-206	-222 
82.784	25	-221	-200 
82.800	8	-231	-183 
82.816	-10	-235	-173 
82.831	-28	-239	-169 
82.847	-43	-240	-169 
82.878	-60	-239	-166 
82.894	-71	-236	-165 
82.909	-81	-233	-166 
82.925	-90	-230	-165 
82.987	-100	-224	-164 
83.019	-110	-218	-164 
83.019	-122	-211	-165 
83.019	-132	-205	-168 
83.034	-139	-198	-173 
83.050	-148	-192	-176 
83.081	-155	-185	-176 
83.097	-162	-179	-179 
83.124	-168	-173	-183 
83.139	-173	-167	-185 
83.155	-177	-158	-187 
83.170	-180	-153	-189 
83.217	-186	-143	-193 
83.233	-194	-134	-196 
83.249	-199	-125	-197 
83.264	-201	-119	-198 
83.280	-203	-109	-199 
83.295	-206	-102	-201 
83.311	-208	-95	-201 
83.327	-211	-89	-203 
83.389	-213	-81	-205 
83.405	-214	-71	-206 
83.405	-216	-63	-208 
83.420	-216	-55	-209 
83.436	-216	-46	-210 
83.452	-216	-37	-213 
83.467	-212	-30	-213 
83.483	-209	-27	-218 
83.499	-208	-23	-228 
83.530	-206	-18	-231 
83.561	-204	-13	-235 
83.608	-201	-9	-240 
83.639	-198	-2	-244 
83.639	-196	5	-246 
83.639	-194	11	-249 
83.655	-191	16	-252 
83.670	-186	22	-260 
83.686	-183	28	-266 
83.717	-177	36	-271 
83.749	-173	44	-274 
83.780	-168	52	-277 
83.780	-161	57	-280 
83.795	-152	60	-282 
83.811	-143	68	-286 
83.842	-134	72	-287 
83.858	-126	77	-289 
83.874	-116	83	-291 
83.905	-105	90	-295 
83.936	-93	95	-298 
83.936	-79	96	-301 
83.983	-68	98	-305 
83.999	-60	99	-313 
83.999	-49	101	-316 
84.014	-37	103	-318 
84.030	-24	110	-324 
84.045	-13	115	-326 
84.061	-4	118	-325 
84.077	1	117	-324 
84.115	7	117	-326 
84.136	13	117	-328 
84.151	21	117	-329 
84.198	27	115	-326 
84.229	32	113	-324 
84.229	39	113	-323 
84.245	46	112	-324 
84.261	49	112	-324 
84.276	52	110	-326 
84.292	58	107	-326 
84.307	64	105	-325 
84.323	70	103	-323 
84.339	74	103	-323 
84.370	80	101	-322 
84.386	89	98	-320 
84.432	93	95	-316 
84.448	97	93	-313 
84.464	103	91	-312 
84.479	110	90	-312 
84.495	113	86	-308 
84.510	117	84	-307 
84.526	121	85	-304 
84.589	126	83	-300 
84.604	131	81	-296 
84.604	135	78	-294 
84.620	139	78	-290 
84.636	142	76	-291 
84.651	145	79	-290 
84.667	148	78	-290 
84.682	148	76	-286 
84.698	148	77	-290 
84.729	146	75	-290 
84.745	149	73	-291 
84.761	152	71	-292 
84.792	150	71	-290 
84.807	152	67	-290 
84.823	155	64	-290 
84.839	159	61	-289 
84.854	163	62	-289 
84.885	163	62	-289 
84.901	162	65	-288 
84.917	159	72	-284 
84.948	158	78	-281 
84.964	159	76	-277 
84.995	158	72	-277 
85.010	157	68	-282 
85.026	156	65	-285 
85.042	155	56	-289 
85.057	156	50	-289 
85.089	156	48	-289 
85.104	158	49	-290 
85.130	162	52	-290 
85.150	163	55	-289 
85.166	163	59	-288 
85.197	162	66	-287 
85.213	164	76	-284 
85.228	166	90	-275 
85.244	168	109	-264 
85.275	166	128	-253 
85.291	162	154	-229 
85.306	155	178	-208 
85.322	146	198	-187 
85.353	134	217	-170 
85.369	119	235	-149 
85.416	105	247	-132 
85.431	93	260	-117 
85.431	80	267	-104 
85.447	68	274	-99 
85.463	58	277	-98 
85.478	49	280	-101 
85.494	41	281	-104 
85.525	37	279	-107 
85.556	34	279	-110 
85.572	27	277	-114 
85.588	21	276	-120 
85.634	8	276	-126 
85.650	0	274	-133 
85.650	-8	272	-137 
85.666	-15	269	-142 
85.681	-24	269	-143 
85.713	-34	270	-142 
85.728	-43	268	-137 
85.744	-52	266	-132 
85.775	-66	260	-129 
85.791	-83	255	-128 
85.806	-100	248	-132 
85.853	-118	234	-139 
85.869	-135	212	-155 
85.869	-149	190	-171 
85.885	-160	170	-187 
85.900	-170	150	-203 
85.916	-177	128	-218 
85.931	-182	105	-233 
85.963	-185	87	-244 
85.994	-186	69	-256 
86.010	-185	46	-263 
86.025	-184	25	-270 
86.041	-179	5	-278 
86.056	-168	-14	-288 
86.072	-156	-31	-294 
86.103	-143	-48	-297 
86.125	-132	-65	-298 
86.143	-120	-75	-301 
86.159	-106	-83	-303 
86.196	-94	-92	-304 
86.212	-81	-101	-307 
86.228	-66	-109	-311 
86.243	-52	-113	-312 
86.275	-40	-117	-312 
86.290	-28	-124	-312 
86.306	-13	-127	-312 
86.322	2	-126	-312 
86.337	19	-125	-311 
86.353	36	-124	-310 
86.400	53	-120	-310 
86.415	68	-114	-311 
86.431	83	-104	-313 
86.446	97	-90	-315 
86.462	112	-74	-317 
86.478	123	-59	-316 
86.493	134	-42	-312 
86.509	142	-26	-307 
86.540	150	-12	-303 
86.556	154	-3	-299 
86.571	162	8	-297 
86.603	166	19	-294 
86.618	170	30	-292 
86.634	172	41	-290 
86.650	173	56	-286 
86.681	170	71	-284 
86.696	165	84	-284 
86.712	156	97	-287 
86.743	151	107	-287 
86.759	146	116	-286 
86.775	142	127	-285 
86.806	137	137	-282 
86.821	136	142	-277 
86.837	135	148	-272 
86.868	134	155	-268 
86.884	132	167	-259 
86.900	128	177	-255 
86.931	123	188	-250 
86.946	115	196	-241 
86.962	107	204	-238 
86.978	98	211	-232 
87.025	85	218	-227 
87.040	72	228	-218 
87.056	65	236	-212 
87.072	58	241	-206 
87.087	55	244	-205 
87.103	53	245	-202 
87.129	48	246	-199 
87.145	44	246	-202 
87.160	36	246	-203 
87.176	31	245	-208 
87.192	23	246	-206 
87.223	12	244	-206 
87.254	-3	238	-205 
87.270	-17	233	-207 
87.285	-29	228	-209 
87.301	-40	222	-211 
87.317	-49	217	-214 
87.348	-58	211	-216 
87.379	-63	205	-219 
87.395	-69	202	-222 
87.410	-72	200	-225 
87.457	-74	200	-225 
87.473	-79	198	-223 
87.473	-81	203	-218 
87.489	-84	207	-213 
87.504	-83	209	-209 
87.520	-83	212	-207 
87.535	-85	215	-202 
87.567	-87	218	-196 
87.582	-88	220	-191 
87.598	-89	224	-186 
87.629	-91	230	-181 
87.676	-91	234	-176 
87.692	-93	235	-174 
87.692	-96	236	-172 
87.707	-95	236	-168 
87.723	-98	237	-167 
87.739	-101	236	-163 
87.754	-103	236	-158 
87.770	-105	239	-155 
87.785	-107	243	-152 
87.817	-105	246	-148 
87.832	-102	251	-146 
87.848	-94	256	-141 
87.879	-85	258	-136 
87.895	-77	261	-134 
87.910	-68	263	-132 
87.926	-62	268	-128 
87.957	-55	272	-126 
87.973	-49	275	-125 
87.989	-45	278	-126 
88.020	-44	276	-128 
88.035	-47	272	-136 
88.051	-49	268	-147 
88.067	-47	262	-161 
88.098	-49	254	-175 
88.118	-53	248	-183 
88.139	-61	244	-189 
88.170	-67	237	-194 
88.186	-73	229	-200 
88.202	-79	223	-206 
88.233	-87	217	-209 
88.249	-94	209	-214 
88.311	-100	200	-219 
88.327	-107	188	-226 
88.327	-116	177	-232 
88.327	-124	168	-236 
88.342	-130	157	-245 
88.358	-137	146	-253 
88.374	-140	132	-261 
88.405	-141	120	-266 
88.420	-140	107	-273 
88.483	-138	96	-282 
88.514	-137	85	-291 
88.514	-138	72	-295 
88.514	-138	62	-300 
88.530	-140	53	-302 
88.545	-140	42	-306 
88.561	-139	31	-312 
88.577	-138	22	-314 
88.608	-137	16	-313 
88.624	-135	11	-315 
88.639	-135	7	-317 
88.655	-129	1	-319 
88.717	-130	-1	-318 
88.733	-128	-4	-319 
88.733	-125	-7	-322 
88.749	-123	-12	-322 
88.764	-124	-15	-322 
88.780	-124	-20	-321 
88.795	-124	-24	-318 
88.827	-126	-32	-316 
88.889	-129	-36	-317 
88.905	-131	-41	-316 
88.905	-125	-48	-313 
88.905	-118	-53	-311 
88.920	-107	-60	-310 
88.936	-92	-67	-311 
88.952	-80	-70	-313 
88.983	-73	-74	-319 
88.998	-68	-77	-320 
89.077	-65	-82	-318 
89.092	-62	-90	-316 
89.092	-55	-94	-316 
89.092	-53	-99	-315 
89.109	-49	-103	-315 
89.119	-43	-106	-315 
89.138	-38	-106	-318 
89.153	-32	-107	-320 
89.185	-26	-108	-320 
89.200	-22	-108	-321 
89.216	-18	-106	-324 
89.232	-15	-106	-324 
89.281	-9	-105	-323 
89.297	-2	-103	-325 
89.297	7	-101	-323 
89.313	20	-98	-321 
89.328	36	-92	-319 
89.344	49	-82	-319 
89.375	62	-71	-320 
89.391	78	-58	-318 
89.406	92	-38	-317 
89.422	107	-20	-316 
89.453	114	3	-317 
89.484	117	28	-318 
89.500	116	58	-315 
89.516	114	81	-312 
89.547	111	96	-313 
89.563	107	108	-314 
89.578	101	115	-313 
89.594	94	120	-311 
89.609	89	129	-311 
89.625	87	136	-309 
89.656	85	145	-305 
89.703	80	154	-302 
89.719	76	162	-297 
89.719	71	171	-293 
89.734	65	177	-289 
89.750	61	181	-287 
89.781	55	187	-281 
89.797	52	191	-280 
89.813	51	191	-281 
89.875	51	190	-280 
89.891	50	185	-281 
89.891	50	180	-281 
89.906	54	172	-283 
89.922	58	166	-283 
89.938	62	165	-283 
89.953	65	164	-284 
89.984	69	166	-285 
90.000	71	168	-284 
90.016	73	170	-280 
90.031	75	175	-272 
90.047	77	179	-266 
90.118	79	185	-263 
90.134	81	189	-259 
90.134	80	194	-256 
90.134	85	191	-255 
90.149	94	187	-256 
90.165	112	177	-257 
90.180	133	163	-251 
90.212	151	153	-243 
90.227	165	147	-238 
90.290	178	145	-231 
90.305	184	143	-224 
90.305	189	143	-216 
90.321	196	147	-204 
90.337	200	151	-194 
90.352	204	157	-184 
90.368	208	162	-175 
90.384	211	168	-169 
90.415	214	172	-162 
90.430	213	175	-156 
90.446	214	178	-150 
90.524	214	183	-145 
90.540	211	187	-143 
90.540	208	189	-136 
90.540	207	192	-130 
90.555	207	195	-128 
90.571	206	195	-129 
90.602	205	196	-127 
90.618	205	197	-124 
90.634	204	200	-121 
90.712	203	201	-121 
90.743	203	202	-121 
90.743	206	204	-117 
90.743	206	205	-109 
90.743	204	206	-108 
90.759	206	207	-103 
90.774	207	207	-97 
90.805	211	208	-94 
90.821	211	209	-92 
90.837	207	211	-91 
90.852	205	212	-95 
90.868	202	212	-96 
90.884	202	214	-98 
90.915	199	214	-101 
90.946	199	211	-105 
90.962	201	209	-109 
90.977	203	206	-113 
90.993	203	205	-116 
91.009	201	204	-120 
91.040	199	206	-123 
91.102	198	205	-130 
91.122	196	204	-135 
91.122	193	204	-141 
91.122	187	206	-146 
91.128	183	207	-151 
91.144	183	211	-152 
91.160	181	214	-157 
91.175	177	215	-157 
91.198	171	214	-158 
91.229	170	216	-158 
91.244	167	217	-156 
91.260	163	221	-156 
91.276	162	219	-158 
91.307	160	218	-158 
91.323	156	220	-159 
91.338	155	219	-163 
91.369	151	219	-166 
91.385	147	220	-166 
91.416	142	224	-165 
91.432	138	228	-165 
91.448	132	233	-165 
91.463	125	236	-166 
91.479	114	239	-172 
91.510	104	241	-173 
91.526	97	244	-173 
91.541	93	246	-173 
91.557	87	247	-174 
91.588	79	249	-176 
91.604	69	251	-176 
91.635	58	254	-175 
91.651	42	257	-174 
91.666	29	260	-173 
91.682	17	262	-174 
91.729	7	261	-176 
91.744	0	260	-180 
91.760	-9	256	-184 
91.776	-16	252	-188 
91.791	-26	250	-194 
91.807	-33	244	-201 
91.823	-39	237	-206 
91.854	-46	229	-211 
91.869	-51	220	-221 
91.885	-58	212	-230 
91.948	-65	204	-240 
91.979	-71	197	-247 
91.979	-76	190	-255 
91.979	-81	185	-262 
91.994	-88	181	-264 
92.010	-92	176	-268 
92.026	-92	170	-275 
92.041	-90	167	-278 
92.073	-93	162	-279 
92.126	-98	158	-278 
92.144	-105	151	-278 
92.144	-110	144	-279 
92.159	-119	139	-278 
92.175	-128	136	-275 
92.191	-133	136	-267 
92.206	-146	137	-257 
92.237	-154	135	-251 
92.253	-159	133	-245 
92.269	-163	131	-241 
92.284	-167	129	-240 
92.300	-169	127	-241 
92.331	-168	126	-241 
92.362	-166	125	-241 
92.378	-164	123	-247 
92.394	-164	120	-251 
92.409	-164	117	-255 
92.425	-162	112	-258 
92.456	-164	109	-261 
92.519	-164	104	-261 
92.534	-162	98	-263 
92.534	-162	92	-266 
92.534	-162	85	-272 
92.550	-159	79	-276 
92.565	-157	74	-280 
92.581	-155	67	-286 
92.612	-153	60	-287 
92.628	-151	55	-289 
92.644	-152	48	-291 
92.659	-149	42	-293 
92.690	-147	37	-294 
92.753	-146	33	-296 
92.769	-146	26	-298 
92.769	-145	20	-301 
92.769	-142	10	-303 
92.784	-140	2	-303 
92.800	-137	-4	-304 
92.816	-131	-12	-304 
92.831	-130	-21	-304 
92.862	-125	-28	-307 
92.894	-117	-36	-308 
92.925	-111	-47	-308 
92.925	-103	-58	-306 
92.941	-97	-65	-306 
92.956	-92	-71	-307 
92.972	-87	-79	-308 
93.003	-82	-84	-312 
93.019	-70	-83	-314 
93.050	-60	-79	-318 
93.066	-51	-76	-325 
93.081	-38	-73	-331 
93.125	-26	-73	-335 
93.141	-13	-70	-340 
93.156	0	-71	-341 
93.172	14	-73	-340 
93.188	26	-71	-341 
93.203	40	-69	-342 
93.219	52	-66	-342 
93.250	64	-63	-342 
93.266	75	-55	-339 
93.281	84	-48	-338 
93.313	92	-43	-339 
93.360	99	-36	-334 
93.391	103	-33	-331 
93.391	107	-26	-329 
93.391	115	-19	-325 
93.406	124	-12	-322 
93.422	129	-3	-318 
93.453	134	4	-316 
93.469	138	13	-313 
93.485	142	22	-310 
93.531	148	32	-305 
93.547	153	44	-302 
93.547	156	60	-297 
93.563	157	77	-289 
93.578	155	89	-288 
93.610	154	102	-286 
93.625	151	118	-283 
93.641	141	135	-283 
93.656	128	155	-277 
93.688	115	170	-273 
93.703	98	179	-269 
93.766	85	186	-270 
93.797	70	194	-271 
93.797	57	198	-271 
93.797	46	201	-271 
93.813	39	202	-270 
93.828	31	206	-270 
93.844	23	210	-272 
93.860	17	209	-276 
93.891	11	208	-277 
93.953	0	209	-277 
93.969	-6	211	-272 
93.969	-12	217	-263 
93.969	-16	224	-250 
93.985	-18	233	-239 
94.000	-23	237	-229 
94.016	-27	242	-215 
94.031	-27	250	-196 
94.063	-31	255	-180 
94.078	-36	259	-168 
94.094	-41	263	-159 
94.120	-49	262	-155 
94.155	-56	261	-150 
94.171	-65	259	-148 
94.186	-76	257	-142 
94.202	-85	255	-136 
94.218	-92	252	-133 
94.233	-99	248	-131 
94.249	-103	243	-132 
94.280	-103	243	-142 
94.296	-102	241	-150 
94.311	-99	240	-159 
94.327	-101	237	-165 
94.358	-108	231	-168 
94.374	-109	222	-177 
94.390	-111	209	-194 
94.405	-113	200	-209 
94.436	-111	190	-226 
94.452	-107	178	-240 
94.468	-99	167	-255 
94.499	-87	163	-266 
94.515	-73	158	-277 
94.530	-61	154	-286 
94.561	-53	151	-294 
94.577	-52	148	-300 
94.593	-53	144	-302 
94.608	-54	143	-304 
94.640	-56	143	-303 
94.655	-61	140	-303 
94.686	-62	140	-304 
94.702	-60	139	-307 
94.718	-56	141	-308 
94.733	-52	138	-309 
94.780	-51	138	-312 
94.796	-52	139	-314 
94.811	-56	140	-311 
94.827	-65	137	-306 
94.843	-77	126	-302 
94.858	-93	113	-297 
94.874	-110	98	-288 
94.890	-125	78	-276 
94.921	-138	57	-270 
94.952	-144	32	-264 
94.968	-151	12	-257 
94.983	-155	-8	-248 
94.999	-153	-29	-240 
95.015	-149	-48	-233 
95.046	-146	-62	-228 
95.061	-142	-73	-225 
95.077	-138	-80	-224 
95.093	-132	-92	-228 
95.118	-124	-100	-231 
95.149	-113	-106	-233 
95.165	-100	-111	-232 
95.180	-86	-119	-231 
95.196	-75	-124	-230 
95.212	-67	-134	-231 
95.227	-59	-142	-228 
95.259	-49	-147	-225 
95.274	-40	-152	-222 
95.305	-29	-156	-220 
95.352	-18	-158	-222 
95.385	-8	-150	-236 
95.385	2	-130	-263 
95.385	16	-115	-285 
95.396	25	-104	-297 
95.417	36	-95	-307 
95.433	44	-89	-314 
95.448	52	-87	-320 
95.464	58	-86	-322 
95.495	61	-82	-325 
95.526	64	-74	-325 
95.573	69	-68	-323 
95.589	75	-63	-322 
95.589	82	-57	-321 
95.604	89	-52	-320 
95.620	93	-43	-318 
95.636	93	-30	-312 
95.651	95	-19	-309 
95.683	89	2	-313 
95.698	83	21	-318 
95.714	73	37	-324 
95.729	66	51	-327 
95.745	58	62	-327 
95.776	51	69	-330 
95.792	44	75	-332 
95.808	39	79	-333 
95.823	35	81	-338 
95.854	34	82	-345 
95.870	34	83	-351 
95.886	31	86	-356 
95.917	26	90	-360 
95.933	18	96	-355 
95.964	6	102	-348 
95.995	-3	108	-342 
96.011	-14	117	-335 
96.026	-23	124	-327 
96.042	-33	130	-317 
96.058	-40	136	-309 
96.073	-48	142	-304 
96.089	-56	148	-296 
96.104	-60	156	-286 
96.165	-58	167	-274 
96.181	-56	182	-260 
96.181	-53	193	-247 
96.196	-51	202	-238 
96.212	-50	209	-230 
96.243	-50	215	-223 
96.259	-52	220	-218 
96.274	-53	221	-214 
96.290	-52	223	-211 
96.321	-50	223	-211 
96.337	-51	225	-212 
96.368	-50	227	-211 
96.384	-50	228	-210 
96.399	-52	226	-212 
96.415	-52	225	-216 
96.431	-50	224	-218 
96.446	-48	223	-219 
96.462	-41	224	-218 
96.493	-38	226	-218 
96.509	-34	227	-217 
96.524	-36	226	-216 
96.540	-38	228	-211 
96.571	-41	230	-212 
96.587	-45	230	-209 
96.602	-48	231	-204 
96.618	-46	233	-195 
96.649	-44	236	-191 
96.665	-39	237	-188 
96.681	-30	241	-187 
96.712	-19	242	-187 
96.727	-13	245	-189 
96.743	-6	250	-186 
96.774	-1	255	-175 
96.790	4	259	-165 
96.806	8	263	-157 
